word_ru,definition_ru,word_uz,definition_uz
ОХРАНА ЛЕСОВ,Система мероприятий по защите лесных экосистем от разрушения и загрязнения.,O'rmonlarni,""
ОБУЧЕНИЕ ВЗРОСЛЫХ,Процесс получения новых знаний и навыков взрослым обучающимся.,KATTALARNI,""
ЗАЩИТА ДЕРЕВЬЕВ,Меры и действия по охране и сохранению деревьев от вредителей и болезней.,Daraxtlarni,""
ЛЕСОЗАЩИТНЫЕ РАБОТЫ,"Комплекс мероприятий, направленных на защиту лесов от вредных факторов и ущерба.",O'rmonlarni,""
ЧЕЛОВЕЧЕСКАЯ ИСТОРИЯ,"Изучение событий и процессов, связанных с развитием человечества.",INSON,""
ОСЛЕПЛЕНИЕ СВЕТОМ,Ослепление светом — временная потеря зрения или затруднение его восприятия из-за яркого света.,YORUQ,""
ШТАТНАЯ ЧИСЛЕННОСТЬ,"",Xodimlar,""
ОХРАНА ДЕРЕВЬЕВ,"",Daraxtlarni,""
АППАРАТ УПРАВЛЕНИЯ,"",BOSHQARISH,""
МЕРОПРИЯТИЯ ПО ОХРАНЕ ЛЕСА,"",O'rmonlarni,""
АППАРАТ ОРГАНИЗАЦИИ,"",TASHKILOT,""
ОХРАНА И ЗАЩИТА ЛЕСОВ,"",O'rmonlarni,""
ЛЕСОЗАЩИТНЫЕ МЕРОПРИЯТИЯ,"",O'rmonlarni,""
НИЗКОЕ НАПРЯЖЕНИЕ,"",PAST,""
ГРАФОМАН,"",GRAFOMANIKA,""
ГРАФОМАНКА,"",GRAFOMANIKA,""
АПОКАЛИПСИС,Апокалипсис - пророчество о конце света и окончательной судьбе человечества.,APOCALYPSE,""
БЛАГОДУШИЕ,"Спокойное и радостное душевное состояние, внутреннее умиротворение.",KOMONATILIK,""
БАЛЛОНЧИК,"Маленький баллон, обычно с газом или жидкостью внутри.",SPRAY,""
ПЕРЕРАСЧЕТ,Перерасчет - пересмотр и переработка расчетов или данных.,QAYTA,""
АТОНИЯ,Атония — это снижение тонуса или утрата сократительной функции органа или мышцы.,ATONY,""
СПЕШКА,"Состояние, когда нужно быстро выполнять что-то.",SHoshilinch,""
КРЕДИТОВАНИЕ ПОД ЗАЛОГ,"",XAVFSIZLIK,""
БЛАГОДУШНОСТЬ,"",FOYDALARI,""
КРЕДИТ ПОД ЗАЛОГ,"",KREDIT,""
ФУЦЗЯНЬ,"",FUJIAN,""
НЯНДОМА,"",NYANDOMA,""
НЕЛЕГАЛКА,"",NOQONUNIY,""
НЕЛЕГАЛ,"",NOQONUNIY,""
РАКУШКА,"",SHELL,""
ШТАТНЫЙ РЕЖИМ,"",NORMAL,""
ПРИТУПЛЕНИЕ,"",BO'LGAN,""
КЕДР,"Вечнозеленое дерево семейства сосновых, известное своей прочной древесиной и шишками.",SEDAR,""
ШТАТНАЯ СИТУАЦИЯ,Обычное состояние дел в организации или учреждении.,NORMAL,""
ОНКОЛОГ,"Специалист, занимающийся диагностикой и лечением раковых заболеваний.",ONKOLOG,""
ВЕРХНЯЯ ОДЕЖДА,"Одежда, предназначенная для ношения на верхней части тела и защищающая от холода или дождя.",ustki,""
ГОРНОЛЫЖНЫЙ СЛАЛОМ,"Горнолыжный слалом – соревнование по горным лыжам, в котором спортсмены проходят трассу с расставленными воротами.",SKI,""
СЛАЛОМ,"СЛАЛОМ — вид горнолыжного спорта, заключающийся в спуске по склону между воротами, расставленными на трассе.",SLALOM,""
ГОРНО-ЛЫЖНЫЙ СЛАЛОМ,"Горнолыжный слалом - соревнование по горным лыжам, где спортсмены спускаются по трассе, проходя между установленными воротами.",TOG',""
МЯКОТЬ,Мягкая часть плода или мяса.,PULP,""
МЯКОТЬ ПЛОДА,"Съедобная часть плода, обычно мягкая и сочная.",MEVA,""
ЖЕЛТАЯ КАРТОЧКА,"Документ, предупреждающий о нарушении правил, выдаваемый спортсмену или команде в спорте.",SARI,""
ВДАЛБЛИВАНИЕ,"Процесс углубления или выдалбливания материала, обычно с использованием инструмента.",XAVFLI,""
ВБИВАНИЕ,"Процесс вбивания чего-либо в поверхность, обычно с использованием молотка или другого инструмента.",HAYDASH,""
ЗВУЧНОСТЬ,Свойство звука быть ясным и отчетливым.,SONORITY,""
ПЛОДОВАЯ ПУЛЬПА,"Мягкая часть фруктов или овощей, содержащая семена.",MEVA,""
ТЕПЛАЯ ОДЕЖДА,"Одежда, предназначенная для защиты от холода.",ISIQ,""
КЕДРОВОЕ ДЕРЕВО,Кедровое дерево — многолетнее хвойное дерево с ароматной древесиной и игловидными листьями.,SEDAR,""
ЛЮБОВЬ,Чувство глубокого привязанности и заботы к кому-либо или чему-либо.,SEVGI,""
РЕКОНСТРУКЦИЯ,"Восстановление или перестройка чего-либо, обычно инфраструктуры или системы.",Qayta,""
ЗВОНКОСТЬ,"Способность издавать чистый, ясный и громкий звук.",OVOZ,""
РЕОРГАНИЗАЦИЯ,"",Qayta,""
БАЛЛОН,"",BALON,""
ОБРАЗОВАНИЕ ВЗРОСЛЫХ,Образование взрослых — процесс получения знаний и навыков взрослыми людьми в разных областях в формальных и неформальных условиях.,KATTALAR,""
ТЕПЛЫЕ ВЕЩИ,"Одежда и предметы, которые обеспечивают тепло в холодное время.",ISIQ,""
ПАЛАТА ПРЕДСТАВИТЕЛЕЙ,"Законодательный орган, представляющий интересы граждан в парламенте.",VAKILLAR,""
АТОНИЯ МЫШЦ,"",Mushak,""
ШТАТНЫЙ РЕЖИМ РАБОТЫ,"Режим работы, при котором сотрудники выполняют свои обязанности в установленные рабочие часы и дни.",NORMAL,""
ОБРАЗОВАНИЕ ДЛЯ ВЗРОСЛЫХ,"Система обучения для людей взрослого возраста, направленная на получение новых знаний и навыков.",KATTALAR,""
ПЕРЕУСТРОЙСТВО,Переустройство — изменение структуры или организации чего-либо.,TA'KLASH,""
КУХОННАЯ ПОСУДА,"Посуда, предназначенная для приготовления и сервировки пищи.",ISHLASH,""
СПИСАНИЕ НА БЕРЕГ,"Списание на берег — процесс учета и списания материальных ценностей, находящихся на берегу, выводимых из эксплуатации.",SOG'ROQ,""
ПОСУДА ДЛЯ КУХНИ,"Принадлежности и предметы, используемые для приготовления и подачи пищи.",OSHXONA,""
КАПИТУЛЯЦИЯ,Сдача противника без условий.,Taslim,""
БРОНХИАЛЬНАЯ АСТМА,"Хроническое заболевание дыхательных путей, характеризующееся сужением бронхов и затруднением дыхания.",BRONXIAL,""
БЕРЛОГА,"Место, где медведь спит или укрывается.",DEN,""
КУСТАРНО-ХУДОЖЕСТВЕННОЕ ИЗДЕЛИЕ,"Искусно выполненное изделие, создаваемое вручную, с акцентом на художественный аспект.",BADDIY,""
ПРОЦЕССУАЛЬНОЕ ДЕЙСТВИЕ,"Действие, осуществляемое в рамках правового процесса, регламентированное нормами права.",Protsessual,""
ВРАЖЕСКАЯ КАПИТУЛЯЦИЯ,Подписание врагом условий поражения и добровольное прекращение сопротивления.,Dushman,""
СПИСАНИЕ С КОРАБЛЯ,Оглашение министрами или командирами корабля о списании судна с учета.,KEMADAN,""
МЕТАЛЛИЧЕСКИЙ СПЛАВ,"Сплав, состоящий из нескольких металлов, обладающий определёнными свойствами.",METAL,""
КЕЛЬН,"Инструмент для вытягивания и формовки материалов, часто используемый в строительстве и в кузнечном деле.",KOLON,""
РАСТВОРИМОСТЬ,Способность вещества растворяться в другом веществе.,ERIMLIK,""
ПЛАНИРОВКА,Схема или порядок размещения объектов на территории или в пространстве.,LAYOUT,""
ОЛЕНЬ,"Млекопитающее из семейства оленевых, обычно с ветвистыми рогами.",KIYIK,""
ШАЛФЕЙ,"Растение с душистыми листьями, часто используемое в кулинарии и медицине.",SAGE,""
ЛЕГКОЕ,"Не тяжелое, простое для восприятия или выполнения.",O'pka,""
ЛЕГКИЕ,"Органы дыхания, отвечающие за газообмен.",O'pka,""
ТУАПСЕ,"Туапсе — город на черноморском побережье России, в Краснодарском крае.",TUAPSE,""
ТЕМИРТАУ,"Город в Казахстане, административный центр Темиртауского района Карагандинской области.",TEMIRTAU,""
БЕСПРИСТРАСТИЕ,Объективность и impartialность в суждениях и оценках.,HOZIRLIK,""
ОБЪЕКТИВНЫЙ ПОДХОД,"Метод анализа, основанный на фактах и реальности, а не на субъективных мнениях.",OBYEKTİV,""
ВОЕННАЯ КАПИТУЛЯЦИЯ,Формальное прекращение военных действий и сдача армии противника.,Harbiy,""
СПЛАВ МЕТАЛЛОВ,"Смесь двух или более металлов, имеющая специфические физические и химические свойства.",METAL,""
ПЛАНИРОВОЧНАЯ СТРУКТУРА,"Структура, используемая для организации и координации процесса планирования.",REJAJLASH,""
ОТКРОВЕНИЕ АПОСТОЛА ИОАННА БОГОСЛОВА,"Книга Библии, содержащая пророческие откровения о конце света и второй приход Христа.",Havoriy,""
БЕСПРИСТРАСТНОСТЬ,Состояние объективности и независимости в суждениях или оценках.,HOZIRLIK,""
ОБЪЕКТИВНОСТЬ,"Свойство воспринимать вещи, факты или ситуации без предвзятости и личных оценок.",MAQSAD,""
ОБЪЕКТИВИЗМ,"Философское направление, утверждающее, что знания основываются на объективной реальности, независимой от субъекта.",OBYEKTİVIZM,""
НЕПРЕДУБЕЖДЕННОСТЬ,"Непредубежденность — отсутствие предвзятости, объективность в оценке.",OCHIQ,""
НЕПРЕДВЗЯТОСТЬ,Состояние объективности и беспристрастности в оценке.,JOYLIK,""
ОМИЧ,Житель города Омск.,OMICH,""
УЛЛУЧАЙ,"Уллучай — случайность, неожиданное событие.",ULLUCHAY,""
БАГАМЫ,"Багамы — группа островов в Карибском море, составляющая независимое государство.",BAHAMA,""
ОБЪЕКТИВНОЕ ОТНОШЕНИЕ,Справедливый и беспристрастный подход или оценка ситуации.,OBYEKTİV,""
БАГАМСКИЕ ОСТРОВА,"Карибское государство, состоящее из более чем 700 островов и рифов.",BAHAMA,""
ПЕРЕПЛАНИРОВКА,Изменение существующего плана или схемы.,YANGILASH,""
ПЕРЕПЛАНИРОВАНИЕ,Изменение ранее установленного плана или проекта.,QAYTA,""
ГОРОД ИЗЮМ,"Город в Украине, расположенный в Харьковской области, известный своим историческим наследием и природой.",IZUM,""
ПЕРЕЛЕТАНИЕ,Перелетание — процесс многократного или долгосрочного перелета птиц в поисках пищи или условий для размножения.,MIGRATION,""
ПАПИРОСКА,"Тонкая бумага, используемая для письма или обертывания, часто с характерным блеском.",Sigaret,""
СОДРУЖЕСТВО БАГАМСКИХ ОСТРОВОВ,"Содружество Багамских островов — государственное объединение в Карибском море, состоящее из архипелага Багамских островов.",BAHAMALAR,""
ПАПИРОСА,"Тонкая сигарета, обычно с фильтром, для курения.",SIGARET,""
ЗЕМЛЯНИЧНЫЙ ЦВЕТ,"Цветок земляники, носящий характерный аромат и красоту.",Qulupnay,""
КАПИТУЛЯЦИЯ ВОЙСК,Капитуляция войск — официальное признание поражения и сдача под арест военных сил противнику.,Qo'shinlarning,""
ИЗГОТОВИТЕЛЬ ОДЕЖДЫ,"Организация или человек, занимающийся производством одежды.",KIYIM,""
МОНГОЛЬСКИЕ НАРОДЫ,"Народы, говорящие на монгольских языках и проживающие преимущественно в Монголии и соседних регионах.",MO‘G‘UL,""
СПЛАВ ВЕЩЕСТВ,"Смесь двух или более веществ, которая образуется при их сплавлении и обладает новыми свойствами.",MADDALAR,""
ИЗДЕЛИЯ НАРОДНЫХ ПРОМЫСЛОВ,"Ручные изделия, созданные народными мастерами, часто с использованием традиционных технологий и материалов.",XALQ,""
КАПИТУЛЯЦИЯ ПРОТИВНИКА,"Сдача противника, признание поражения в конфликте или боевых действиях.",DUSHMANNING,""
ЖИТЕЛЬ ОМСКА,"Житель Омска - человек, проживающий в городе Омск.",OMSK,""
КЛУБНИЧНЫЙ ЦВЕТ,"Цвет, характерный для ягод клубники, обычно ярко-красный.",Qulupnay,""
ЖИТЕЛЬНИЦА ОМСКА,Место проживания или временного пребывания в Омске.,OMSK,""
КАПИТУЛЯЦИЯ ВРАГА,"Сдача противника, прекращение сопротивления.",DUSHMANNING,""
БЕРЛОГА МЕДВЕДЯ,Естественное или искусственное убежище медведя.,AYIQ,""
ВЫГРЕБНОЙ ТУАЛЕТ,"Туалет, обычно установленный на улице, оснащенный системой для сбора отходов.",axlatxona,""
ЗЕЛЕНЫЙ ЧАЙ,"Зеленый чай — напиток, получаемый из листьев растения Camellia sinensis, не проходящих ферментацию.",KO'K,""
ЧАЙ ЗЕЛЕНЫЙ,"Напиток, получаемый из листьев зеленого чайного куста без ферментации.",KO'K,""
НЕОЖИДАННОСТЬ,"Состояние или качество чего-либо неожиданного, непредсказуемого.",SURPRIZ,""
АЭРОЗОЛЬ,"Аэрозоль — мелкие капли жидкости или твердые частицы, равномерно распределенные в газе.",AEROSOL,""
АЭРОЗОЛЬНЫЙ БАЛЛОНЧИК,Контейнер для распыления жидкостей под давлением.,AEROSOL,""
ОКОРОК,"ОКОРок — часть мясного изделия, обычно задняя нога животного, используемая для приготовления пищи.",DUDLANGAN,""
НЕЖДАННОСТЬ,Неожиданное событие или ситуация.,SURPRIZ,""
АЭРОЗОЛЬНЫЙ ФЛАКОН,"Флакон, предназначенный для распыления жидкостей в виде аэрозоля.",AEROSOL,""
КАВКАЗСКИЙ РЕГИОН,"Область на границе Европы и Азии, включающая Кавказские горы и страны вокруг них.",KAVQAZ,""
РАСТАЛКИВАНИЕ,Процесс постепенного превращения вещества из твердого состояния в жидкое.,TARISH,""
КАВКАЗ,"Горный регион на границе Европы и Азии, знаменитый своей природой и культурным многообразием.",KAVQAZ,""
ВЫКСА,"Выкса — город в России, административный центр Выксунского района Нижегородской области.",VYKSA,""
КАРДИФФ,"Столица Уэльса, портовый город на юго-западе Великобритании.",KARDIFF,""
АЭРОЗОЛЬНЫЙ БАЛЛОН,Баллон для хранения и распыления аэрозольных веществ.,AEROSOL,""
БОЛЬШОЙ КАВКАЗ,"Горная система на Кавказе, состоящая из высших гор и многочисленных хребтов.",BUYUK,""
АЭРОЗОЛЬНОЕ УСТРОЙСТВО,Устройство для распыления жидкостей в виде мелких капель.,AEROSOL,""
ПОДХОД,Метод или способ решения задачи или осуществления действия.,YONDASHISH,""
ПЛАТНОСТЬ,Платность — характеристика обязательности уплаты за товары или услуги.,TO'LOV,""
ПЕЧАТНЫЙ СТАНОК,"Устройство для печати текста или изображений на материале, чаще всего на бумаге.",BOSIB,""
СОВРЕМЕННИК,"Современник — человек, живущий в одно и то же время с другим человеком или в одно время с определённой эпохой.",ZAMONDAGI,""
СОВРЕМЕННИЦА,"Современница - женщина, живущая в одно время с кем-то или чем-то; современная личность.",ZAMONDAGI,""
КОМПЬЮТЕРНАЯ ТОМОГРАФИЯ,"Метод медицинской визуализации, основанный на использовании рентгеновских лучей для получения срезов внутренних органов.",KOMPYUTER,""
МОЙКА,Мойка – место или устройство для мытья посуды или других предметов; также процесс мытья.,KIVISH,""
ДЕНЕЖНАЯ ЭМИССИЯ,Процесс выпуска денег в обращение центральным банком для регулирования денежной массы в экономике.,PUL,""
ЭМИССИЯ ДЕНЕГ,Эмиссия денег — процесс выпуска денежных знаков центральным банком для регулирования денежной массы в экономике.,PUL,""
МОЕЧНОЕ ОБОРУДОВАНИЕ,"Моечное оборудование - устройства и механизмы для стирки, чистки и мытья предметов или поверхностей.",KIVISH,""
ЗАПУСК ПЕЧАТНОГО СТАНКА,Начало работы печатного станка для производственного процесса.,BOSIB,""
НА ПЛАТНОЙ ОСНОВЕ,"На платной основе — работа или услуги, предоставляемые за денежное вознаграждение.",TO'LIQ,""
ГОРЧИЦА,"Приправа из семян растений семейства крестоцветных, используемая для придания остроты блюдам.",xantal,""
ИСПОВЕДЬ,"Ритуал, в котором человек открыто исповедует свои грехи и получает прощение.",E'tirof,""
НОВОРОССИЙСК,"Город на юге России, административный центр Новороссийского района и крупный порт на Черном море.",NOVOROSSIYSK,""
БЛОК,"Единица информации или группа объектов, связанных между собой.",BLOK,""
СТРОИТЕЛЬНЫЙ БЛОК,"Материал, используемый для возведения стен и других конструкций.",QURILISH,""
СЕЛЕДОЧКА,"Небольшая рыба семейства сельдевых, часто используемая в кулинарии.",SELD,""
СЕЛЕДКА,Селедка — соленая или маринованная рыба семейства сельдевых.,SELD,""
ЖАБО,"Жабо — декоративный элемент на женской одежде в виде рюш, обычно располагающийся на груди.",JABO,""
ВОРОТНИК ЖАБО,"Воротник жабо — декоративный элемент одежды, представляющий собой складчатую тканевую деталь, обычно украшенную вышивкой или кружевом.",JABOT,""
НЕАПОЛЬ,"Город в Италии, крупный порт и культурный центр.",NEAPOL,""
ДЕФИЦИТНОСТЬ,"Нехватка или недостаток чего-либо, особенно ресурсов или товаров.",TACHLIK,""
ДЕФИЦИТ,"Недостаток чего-либо, нехватка ресурсов или товаров.",DEFISİT,""
НЕОБЕСПЕЧЕННОСТЬ,Недостаток обеспечения или защиты в каком-либо аспекте.,JINNI,""
СЕЛЬДЬ СОЛЕНАЯ,"Сельдь, которая была подвержена солению для консервации и улучшения вкуса.",TUZLI,""
НЕДОСТАТОК,Недостаток — отсутствие чего-либо необходимого или желаемого.,QAYS,""
МОЕЧНАЯ МАШИНА,Аппарат для стирки белья.,Kir,""
ЛЕЙПЦИГ,"Лейпциг — город в Германии, центр торговли и культуры.",LEYPSIG,""
НЕХВАТКА,Недостаток чего-либо.,KAMPOSLIK,""
ИЕРОМОНАХ,"Иеромонах — монах, рукоположенный в священнический сан.",HIEROMONCH,""
ИЕРОСХИМОНАХ,Монашествующий монах в православной церкви с высоким духовным статусом и обязательствами.,IEROSHEMONX,""
РАСТИТЕЛЬНЫЙ МИР,"Всё разнообразие растений, произрастающих в определённой местности или на Земле в целом.",O'simlik,""
МУТАГЕНЕЗ,"Процесс изменения генетического материала, вызывающий мутации.",MUTAGENEZ,""
ЗЕЛЕНЬ,"Зеленые части растений, такие как листья и травы, используемые в кулинарии или для украшения.",YASHIL,""
РАСТИТЕЛЬНЫЙ ПОКРОВ,"Сумма всех растительных организмов, покрывающих землю в определённой области.",O'SIMLAR,""
МУТАЦИЯ,"Изменение генетического материала организма, приводящее к новому признаку или свойству.",MUTASYON,""
РАСТЕНИЕ,"Организм, принадлежащий к царству растения, способный к фотосинтезу и имеющий клеточную стенку.",O'simlik,""
РАСТИТЕЛЬНОСТЬ,"Совокупность растений, характерная для определенной местности или экосистемы.",O'SIMLAR,""
ГЕНЕТИЧЕСКАЯ МУТАЦИЯ,"Изменение в генетическом материале, приводящее к изменению признаков организма.",GENETIK,""
НЕДОСТАТОЧНОЕ КОЛИЧЕСТВО,"Недостаточное количество — это количество, которое меньше необходимого или достаточного.",MEQTARLI,""
СОЛЕНАЯ СЕЛЬДЬ,"Носатая рыба, обычно консервированная в рассоле, популярная в русской кухне.",TUZLI,""
ЧАСТИЦА,Маленький элемент или фрагмент чего-либо.,ZARRA,""
ЭНЦИКЛОПЕДИСТКА,"Женщина, специалист в области энциклопедий или свод знаний.",ENTSIKLOPEDIST,""
ЭНЦИКЛОПЕДИСТ,Специалист в области составления или редактирования энциклопедий.,ENTSIKLOPEDIST,""
КАПЕЛЛА,"Маленький хоровой коллектив, исполняющий музыкальные произведения.",KAPELLA,""
КАСТОВАЯ ИЕРАРХИЯ,"Социальная структура, разделяющая людей на группы (касты) с разными правами и обязанностями.",KASTA,""
ПОПРАНИЕ,"Нарушение, ущемление прав или интересов кого-либо.",TRAMPLEMENT,""
МУЗЫКАЛЬНЫЙ ОРГАН,"Инструмент для создания музыки, состоящий из клавиш или труб, который издает звук.",MUSIQA,""
ОРГАН,"Часть организма, выполняющая определённые функции.",ORGAN,""
КОНЦЕРТНЫЙ ОРГАН,"Музыкальный инструмент с несколькими регистрами, играющий на большом количестве труб, часто используемый в храмах и концертных залах.",KONSERT,""
СЛУЖЕБНАЯ ЧАСТИЦА,"Служебная частица — это часть речи, которая связывает слова и выражает различные грамматические значения.",XIZMAT,""
РАСТИТЕЛЬНАЯ КУЛЬТУРА,"Совокупность растений, возделываемых человеком для получения продукции.",O'SIMLAR,""
РАСТИТЕЛЬНОЕ СООБЩЕСТВО,"Совокупность растений, произрастающих на определенной территории и взаимодействующих между собой.",O'simliklar,""
АВТОСТОП,Метод передвижения с помощью попутных автомобилей.,HITCH-HIKING,""
ОФОРМЛЕНИЕ,"ОФОРМЛЕНИЕ - процесс оформления, придания законченного вида или структуры чему-либо.",DIZAYN,""
ПРОВОДКА,Проводка – система проводов для передачи электричества или сигналов.,Elektr,""
ПРОВЕДЕНИЕ,Действие по организации или осуществлению чего-либо.,XULQAT,""
КАСТОВАЯ СИСТЕМА,"Социальная структура, основанная на строгом делении общества на касты с определёнными правами и обязанностями.",KASTA,""
ЛАЗАНЬЕ,"Лазанья — это итальянское блюдо, состоящее из многослойной запеканки с пастой, мясом, соусом и сыром.",LAZAN,""
МОЧЕВЫДЕЛИТЕЛЬНАЯ СИСТЕМА,"Система органов, отвечающих за образование, хранение и вывод мочи из организма.",Siydik,""
ПРЕДСТАВИТЕЛЬ ФЛОРЫ,"Организм, относящийся к растительному миру, определяющий его разнообразие.",FLORA,""
ЭМИССИЯ НАЛИЧНЫХ ДЕНЕГ,Эмиссия наличных денег — процесс выпуска и обращения банкнот и монет в экономике.,NAQD,""
МИР РАСТЕНИЙ,"Совокупность всех видов растений, их экосистем и взаимодействий в природе.",O'SIMLAR,""
ОБЪЕКТ РАСТИТЕЛЬНОГО МИРА,"Элемент флоры, представляющий собой живое растение или его часть.",O'simlik,""
ИЕРАРХИЯ КАСТ,Система рангов и статусов в обществах с разделением на касты.,KASTALAR,""
СОЧИНИТЕЛЬ ПЕСНИ,Автор музыкального произведения или текста песни.,Qo'shiq,""
ЭШАФОТ,"Эшафот — специальная площадка для казни, обычно повешения.",Iskala,""
ВЫПУСК ДЕНЕГ,Процесс создания и ввода в обращение новой валюты или денежных знаков.,PUL,""
АВТОР ПЕСНИ,"Автор песни — человек, создавший текст или музыку для музыкального произведения.",Qo'shiq,""
ПЛАХА,"ПЛАХА — плоская поверхность или доска, использующаяся для обработки или приготовления пищи.",SOAT,""
ЛЕГКОВОЙ АВТОТРАНСПОРТ,"Автомобиль, предназначенный для перевозки людей и легких грузов.",YO'LOVCHI,""
ЛЕГКОВУШКА,Легковушка — небольшой легковой автомобиль.,AVTOMOBIL,""
ЛЕГКОВОЙ ТРАНСПОРТ,"Легковой транспорт — это автомобиль, предназначенный для перевозки пассажиров.",YO'LOVCHI,""
ТАЧКА,Тачка — это транспортное средство или небольшая телега для переноски грузов.,ARABA,""
ЛЕГКОВОЙ АВТОМОБИЛЬНЫЙ ТРАНСПОРТ,"Автомобиль, предназначенный для перевозки людей и легких грузов.",YO'LOVCHI,""
АВТОМОБИЛЬ ЛЕГКОВОЙ,"Легковой автомобиль — транспортное средство, предназначенное для перевозки людей.",YO'LOVCHI,""
ДОКУМЕНТАЛЬНОЕ ОФОРМЛЕНИЕ,Оформление документов в соответствии с установленными нормами и требованиями.,HUJJATLAR,""
ЛЕГКОВОЙ АВТОМОБИЛЬ,"Легковой автомобиль — это транспортное средство с четырьмя колесами, предназначенное для перевозки пассажиров.",AVTOMOBIL,""
ТЕЛЕИСКУССТВО,ТЕЛЕИСКУССТВО - создание художественных произведений с использованием теле- или видеокамеры.,TV,""
ТЕЛЕЭКРАН,Устройство для передачи и отображения изображения и информации на экране.,TV,""
ТЕЛЕВИЗИОННЫЙ ЭКРАН,Устройство для отображения телевизионного сигнала в виде изображения.,TV,""
ТВ,"Телевидение, система передачи и приёма аудиовизуальной информации.",televizor,""
ТЕЛЕИНДУСТРИЯ,"Отрасль экономики, занимающаяся производством телевизионного контента и технологий.",TV,""
ЛЕГКОВАЯ МОДЕЛЬ,"Модель легкового автомобиля, предназначенная для перевозки пассажиров.",MOSHINA,""
ЛЕГКОВАЯ МАШИНА,"Автомобиль, предназначенный для перевозки пассажиров.",AVTOMOBIL,""
ЛЕГКОВАЯ АВТОМАШИНА,"Легковая автомашина — это транспортное средство, предназначенное для перевозки пассажиров.",YO'LOVCHI,""
ТЕЛЕВИДЕНИЕ,"Средство массовой информации, передающее изображения и звук на расстоянии для показа по телевизору.",televizor,""
ЗАЛЕЗАНИЕ,"Процесс или действие восхождения на что-либо, чаще всего вертикальную поверхность.",TOPISH,""
ПЕРЕВЕШИВАНИЕ,"Процесс или действие по перевешиванию чего-либо, например, переустановке.",OSHMA,""
САМООГРАНИЧЕНИЕ,Ограничение своих собственных поступков или желаний.,O'ZINI,""
ЧРЕВОУГОДНИК,"Человека, который стремится удовлетворять свои плотские желания или удовольствия.",OQISH,""
ОБЖОРА,"Человек, который чрезмерно ест или злоупотребляет пищей.",OQISH,""
ДИАЛОГ,Разговор между двумя или несколькими людьми.,DIALOG,""
ПЕРЕВЕС,"Состояние или свойство, при котором одно из частей превышает другое по весу или количеству.",Ortiqcha,""
ПОРНОПРОДУКЦИЯ,"Порнопродукция — материалы сексуального характера, предназначенные для развлекательно-интимного просмотра.",PORNO,""
ПОРНОГРАФИЧЕСКИЙ МАТЕРИАЛ,"Материалы, содержащие изображения или тексты сексуального характера, предназначенные для возбуждения.",PORNOGRAFIK,""
ПОРНОМАТЕРИАЛ,"Материалы, содержащие откровенные сцены сексуального характера.",PORNO,""
ФУГАСНЫЙ СНАРЯД,"Фугасный снаряд — боеприпас, предназначенный для разрушения целей с помощью взрыва и образующихся осколков.",U,""
ТЕЛЕВИЗИОННАЯ ИНДУСТРИЯ,"Отрасль экономики, занимающаяся производством, распространением и трансляцией телевизионного контента.",TELEVIZION,""
ПРОДАЖА ДИСТАНЦИОННЫМ СПОСОБОМ,"Продажа товаров или услуг, осуществляемая через интернет или другие средства связи без физического контакта с клиентом.",Masofadan,""
КОСТНЫЙ МОЗГ,"Жидкая ткань внутри костей, производящая кровяные клетки.",Suyak,""
ПАМПЛОНА,"Памплона — столица автономного сообщества Наварра в Испании, известная фестивалем Сан-Фермин.",PAMPLONA,""
ПЕРИНАТАЛЬНЫЙ ПЕРИОД,"Период, охватывающий время от 28-й недели беременности до 7-го дня жизни новорожденного.",PERINATAL,""
ПОРНОГРАФИЧЕСКАЯ ПРОДУКЦИЯ,"Материалы, содержащие откровенные сексуальные сцены, предназначенные для развлечения.",PORNOGRAFIK,""
ДИСТАНЦИОННАЯ ПРОДАЖА,"Продажа товаров или услуг потребителю без физического контакта, обычно через интернет или по телефону.",Masofadan,""
ЭКОЛОГИЧЕСКОЕ БЕДСТВИЕ,"ЭКОЛОГИЧЕСКОЕ БЕДСТВИЕ — негативное изменение окружающей среды, приводящее к ущербу для здоровья людей и природы.",EKOLOGIK,""
ЭКОЛОГИЧЕСКАЯ КАТАСТРОФА,"Серьезное негативное воздействие на окружающую среду, приводящее к разрушению экосистем и ухудшению качества жизни.",EKOLOGIK,""
ПЕРИОД НОВОРОЖДЕННОСТИ,"Период новорожденности — это первая стадия жизни человека, охватывающая время с рождения до 28 дней.",YANGI,""
ЭКОЛОГИЧЕСКАЯ ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ,"Ситуация, связанная с серьезным нарушением экологического баланса, требующая неотложных мер.",Atrof-muhitni,""
ЭКОЛОГИЧЕСКИЙ КРИЗИС,"Ситуация, характеризующаяся серьезными экологическими проблемами, угрожающими окружающей среде и жизни на Земле.",EKOLOGIK,""
ДИСКОНТНЫЙ ЦЕНТР,"Магазин, предлагающий товары по сниженным ценам.",CHEGIRMA,""
ДИСКАУНТЕР,"Дисконтёр — это компания или лицо, предлагающее товары по сниженным ценам.",CHEGIRMA,""
ТЕМБР,"ТЕМБР — характеристика звука, определяющая его качество и индивидуальность, позволяющая различать звуки одной высоты.",TIMBRE,""
ФУГАС,"Фугас — это артиллерийский снаряд или мина, предназначенная для создания мощного взрывного эффекта.",mina,""
